,Date,Open,High,Low,Close,Volume
550,2002-11-13 00:00:00-05:00,237.75,238.0,237.0,240.5,521
551,2002-11-14 00:00:00-05:00,240.5,241.5,240.5,244.0,510
552,2002-11-15 00:00:00-05:00,244.0,244.5,243.5,242.0,251
553,2002-11-18 00:00:00-05:00,242.0,242.0,241.75,243.75,528
554,2002-11-19 00:00:00-05:00,243.25,244.25,243.25,247.5,528
555,2002-11-20 00:00:00-05:00,247.25,248.0,246.75,248.0,310
556,2002-11-21 00:00:00-05:00,248.0,248.0,247.25,246.5,147
557,2002-11-22 00:00:00-05:00,246.5,247.0,246.25,247.75,216
558,2002-11-25 00:00:00-05:00,247.5,247.5,246.75,243.25,223
559,2002-11-26 00:00:00-05:00,244.0,244.0,243.25,242.25,155
560,2002-11-27 00:00:00-05:00,242.25,242.75,242.25,240.75,150
561,2002-11-29 00:00:00-05:00,241.25,242.5,241.25,240.25,25
562,2002-12-02 00:00:00-05:00,240.25,241.75,240.25,240.25,97
563,2002-12-03 00:00:00-05:00,240.5,240.5,240.0,237.75,16
564,2002-12-04 00:00:00-05:00,238.0,238.0,237.25,237.75,56
565,2002-12-05 00:00:00-05:00,237.75,237.75,237.75,234.0,303
566,2002-12-06 00:00:00-05:00,234.0,234.0,234.0,233.25,9
567,2002-12-09 00:00:00-05:00,231.75,233.75,231.75,232.0,11
568,2002-12-10 00:00:00-05:00,232.5,232.5,232.0,234.5,7
569,2002-12-11 00:00:00-05:00,235.0,235.0,235.0,237.75,7
570,2002-12-12 00:00:00-05:00,236.0,236.0,236.0,236.0,2
571,2002-12-13 00:00:00-05:00,237.0,237.0,237.0,236.5,362
